Region, Section, Index, State, EmptyTime, Bookmark
GJGQ,3,4,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,5,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,6,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,7,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,8,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,9,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,10,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,11,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,12,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,13,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,14,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,15,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,16,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,17,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,18,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,19,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,20,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,21,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,22,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,23,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,24,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,25,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,26,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,27,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,28,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,29,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,30,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,31,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,32,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,33,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,34,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,35,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,36,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,37,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,38,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,39,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,40,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,41,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,42,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,43,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,44,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,45,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,46,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,47,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,48,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,49,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,50,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,51,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,52,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,53,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,54,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,55,OCCUPIED,12/20/2019 3:58:50 PM,False
GJGQ,3,56,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,57,EMPTY,12/20/2019 3:58:50 PM,False
GJGQ,3,58,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,59,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,0,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,1,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,2,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,3,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,4,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,5,OCCUPIED,12/31/9999 11:59:59 PM,False
